"year","province","DGUID.x","Value","NAICS","UOM.x","UOM_ID.x","SCALAR_FACTOR.x","SCALAR_ID.x","VECTOR.x","COORDINATE.x","GDP","STATUS.x","SYMBOL.x","TERMINATED.x","DECIMALS.x","population","DGUID.y","sector","UOM.y","UOM_ID.y","SCALAR_FACTOR.y","SCALAR_ID.y","VECTOR.y","COORDINATE.y","CO2","STATUS.y","SYMBOL.y","TERMINATED.y","DECIMALS.y","electricity"
2018,"British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467264","10.2.1",248162.8,NA,NA,NA,1,5000358,"2016A000259","Total, industries and households","Kilotonnes",198,"units",0,"v1013974427",11.1,83296,NA,NA,NA,0,5621444.66666667
2019,"British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467264","10.2.1",255172.3,NA,NA,NA,1,5084960,"2016A000259","Total, industries and households","Kilotonnes",198,"units",0,"v1013974427",11.1,81713,NA,NA,NA,0,5329439.08333333
2020,"British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467264","10.2.1",247184.7,NA,NA,NA,1,5149081,"2016A000259","Total, industries and households","Kilotonnes",198,"units",0,"v1013974427",11.1,74841,NA,NA,NA,0,6051738.08333333
2009,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2159.6,NA,NA,NA,1,33686,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,586,NA,NA,NA,0,33700.9166666667
2010,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2253.5,NA,NA,NA,1,34408,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,660,NA,NA,NA,0,33678.4166666667
2011,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2363.6,NA,NA,NA,1,35216,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,705,NA,NA,NA,0,35384.25
2012,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2457.6,NA,NA,NA,1,36071,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,708,NA,NA,NA,0,37722
2013,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2494.6,NA,NA,NA,1,36414,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,631,NA,NA,NA,0,37225.8333333333
2014,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2510.9,NA,NA,NA,1,36871,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,486,NA,NA,NA,0,35664.0833333333
2015,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2320.2,NA,NA,NA,1,37495,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,519,NA,NA,NA,0,37338.5833333333
2016,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2487.6,NA,NA,NA,1,38277,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,520,NA,NA,NA,0,37283.5
2017,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2536.9,NA,NA,NA,1,39359,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,550,NA,NA,NA,0,40491.5833333333
2018,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2606.5,NA,NA,NA,1,40328,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,617,NA,NA,NA,0,40183.5
2019,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2572.5,NA,NA,NA,1,41199,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,659,NA,NA,NA,0,39041.25
2020,"Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467569","11.2.1",2667.4,NA,NA,NA,1,42051,"2016A000260","Total, industries and households","Kilotonnes",198,"units",0,"v1013974552",12.1,553,NA,NA,NA,0,45159.1666666667
2009,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4581.2,NA,NA,NA,1,43076,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,1892,NA,NA,NA,0,56451.0833333333
2010,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4707,NA,NA,NA,1,43178,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,1930,NA,NA,NA,0,60222.9166666667
2011,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4273.9,NA,NA,NA,1,43406,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,2049,NA,NA,NA,0,53940.1666666667
2012,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4249.9,NA,NA,NA,1,43670,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,2051,NA,NA,NA,0,51833.1666666667
2013,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4367.3,NA,NA,NA,1,43791,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,2018,NA,NA,NA,0,53727.4166666667
2014,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4574.6,NA,NA,NA,1,43886,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,2072,NA,NA,NA,0,53813.25
2015,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4621.3,NA,NA,NA,1,44250,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,2080,NA,NA,NA,0,51951.8333333333
2016,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4570.3,NA,NA,NA,1,44572,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,1962,NA,NA,NA,0,67455.8333333333
2017,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4736.6,NA,NA,NA,1,44859,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,2165,NA,NA,NA,0,63039.9166666667
2018,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4800.5,NA,NA,NA,1,45084,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,2129,NA,NA,NA,0,62909.3333333333
2019,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4601.5,NA,NA,NA,1,45149,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,2299,NA,NA,NA,0,63487.4166666667
2020,"Northwest Territories","2016A000261","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62467874","12.2.1",4133.2,NA,NA,NA,1,45310,"2016A000261","Total, industries and households","Kilotonnes",198,"units",0,"v1013974677",13.1,1830,NA,NA,NA,0,57332.6666666667
2009,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",1690.3,NA,NA,NA,1,32464,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,436,NA,NA,NA,0,13356.9166666667
2010,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",2004.3,NA,NA,NA,1,33245,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,462,NA,NA,NA,0,13780.75
2011,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",2120.3,NA,NA,NA,1,34050,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,455,NA,NA,NA,0,14324.0833333333
2012,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",2173.1,NA,NA,NA,1,34632,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,516,NA,NA,NA,0,14796.75
2013,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",2392.5,NA,NA,NA,1,35213,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,646,NA,NA,NA,0,14914.9166666667
2014,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",2362.6,NA,NA,NA,1,35867,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,668,NA,NA,NA,0,15106.6666666667
2015,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",2353,NA,NA,NA,1,36398,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,652,NA,NA,NA,0,15575
2016,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",2479.2,NA,NA,NA,1,36876,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,685,NA,NA,NA,0,15734.3333333333
2017,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",2806.3,NA,NA,NA,1,37440,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,708,NA,NA,NA,0,15822.8333333333
2018,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",2932.3,NA,NA,NA,1,37981,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,762,NA,NA,NA,0,16063.0833333333
2019,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",3161.3,NA,NA,NA,1,38522,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,944,NA,NA,NA,0,15904.75
2020,"Nunavut","2016A000262","Chained (2012) dollars","All industries [T001]","Dollars",81,"millions",6,"v62468179","13.2.1",3200.2,NA,NA,NA,1,38991,"2016A000262","Total, industries and households","Kilotonnes",198,"units",0,"v1013974802",14.1,803,NA,NA,NA,0,15859.75
