complaint_id,issue,state,narrative
6627407,Attempts to collect debt not owed,CA,"I am writing to express my deep concern regarding the unethical practices of Persolve , LLC, and the failure of XXXX, XXXX, and XXXX to address fraudulent collections on my credit report. 

In XXXX, my identity was stolen and several accounts were opened using my information, including a {$25000.00} loan and a credit card with a balance of {$5000.00}. Upon discovering the fraud, I promptly contacted the issuing bank XXXX XXXX XXXX ) and was assured that the debt would be cleared. 

In XXXX, I began receiving calls and letters from Persolve LLC demanding payment for this fraudulent debt. Despite providing proof that the debt was not mine, they refused to remove it from my credit report. As a result, I was denied refinancing for my home, student loans for my daughter 's education, and personal credit cards. As a XXXX  of a company, I was also unable to obtain a corporate card or small business loan, despite our company 's earnings of over {>= $1,000,000} per year. 

I have made numerous attempts to dispute the fraudulent collection with XXXX, XXXX, and XXXX, but they have failed to take any action to remove it from my credit report. Despite providing evidence of my identity theft, Persolve LLC has continued to claim that the debt is mine and has refused to remove it from my credit report. 

In XX/XX/XXXX, I hired a lawyer and paid {$3000.00} to resolve this issue, but Persolve LLC still refuses to cooperate. The credit bureaus should be penalized for not listening to consumers and failing to adequately address fraudulent collections on credit reports. I have lost over {$120000.00} due to their inaction, which has prevented me from accessing my home equity and obtaining credit for my personal and business needs. I have now been forced to sell my home to access the {$350000.00} in equity in my home. 

I implore the CFPB to investigate the unethical practices of Persolve LLC and the failure of XXXX, XXXX, and XXXX to address fraudulent collections on credit reports. These companies should be held accountable for their actions and penalized accordingly. I hope the CFPB will take swift action to address this issue and prevent other consumers from experiencing the same financial hardships."
6632901,False statements or representation,NY,"I had an XXXX account that was semi-dormant, items listed ( they remain listed until sold ) but nothing sold and no reason to login. This was also in 2021 when XXXX changed it's payment policies that any NEW listings required a bank account but I opted not to do that and keep XXXX on the existing listings as I did not want my banking information on their site. 

My XXXX account was hacked and without my knowledge the hacker listed 2 watches for sale. They also attached their own bank account to the account and sold both watches. Then got the payout by XXXX. I only noticed when I received an email communication from XXXX about an upset buyer not receiving their watch. I discovered the fraudulent listings and using XXXX messaging system replied to the buyer telling them it was a fraudulent listing and to dispute the transaction. I also noticed that there was a foreign bank account attached to my account which I could not remove from the account as it required me to replace it with another to do so, which I wasn't about to do. 

I contacted XXXX via live chat twice, finally directed to a different account via phone. I called at least twice, maybe three times being bounced around. Eventually, they said they would take care of it so I left it go. However, at no point in time did they remove this bank account from the account. I told them repeatedly it was not mine and they should get the money back. They said they would take care of it so there was nothing more for me to do at this point and it was in their hands. 

Here 's an excerpt from one of the webchats, "" Here 's what I did, I have successfully submitted a request for fee credit adjustment. Please wait 24-48 hrs for processing, after this, you'll receive an email notification for the credit adjustment. '' Then later, not sure how many months later, I started receiving emails from XXXX the transaction fees which are a % of the sold products which was in the thousands of dollars. I was upset because they were supposed to take care of this. Then they suspended the account, no biggy as nothing was really selling/being sold. Then after 2 years since the event they sent it to a collections company. 

Upset, I have once again live chat with XXXX which they couldn't help but was directed again to phone to their Account Services who could. Well after calling them, they couldn't and said they would escalate the issue to a different team. Interestingly enough when talking to them they asked about the STILL attached hackers bank account. The next day I received an email that the problem for which I was contacting was not addressed by them and I needed to talk to Account Services who I had just talked to. Ugh! XXXX has had ample warnings and notifications to take care of this yet contacting them only leads in a circle of emails, live chat, and phone calls with absolutely no ownership. They could have easily canceled the transaction when this was reported and given those folks their money back since XXXX should hold those funds in escrow. Unfortunately XXXX probably also hurt those buyers out of tens of thousands of dollars while letting this hacker get away with it."
6636826,Attempts to collect debt not owed,TX,"In XX/XX/XXXX I was planning to buy a home, so I applied for a mortgage. My application was denied due to multiple derogatory accounts due to identity theft. I was completely unaware until I was notified by the mortgage company. 

After extensive research I determined that my credit was pulled XXXX times by the identity thieves between XX/XX/XXXX and XX/XX/XXXX. As of right now I know that several accounts were opened, XXXX cars were purchased, and an apartment was rented. The identity thief contacted XXXX of my existing creditors which I had open accounts with by phone and impersonating me, told them that I had moved to Florida. These creditors were XXXX XXXX, XXXX XXXX and XXXX XXXX. Each of these accounts had a XXXX balance. The identity thief then charged up each of these cards, having the merchandise delivered to the home in Florida. I have never lived in Florida. 

I have gone through the process of reporting the identity theft to each of the creditors, filed a report with the FTC, filed a local police report, completed an identity theft affidavit and contacted the credit bureaus to resolve this situation. This has been a year of fighting to get my good name back. I have been able to resolve and remove the majority of these accounts, but I have XXXX remaining collection accounts that I have been unable to have removed, which is the reason for my complaint. 

The first collection account is XXXX for the debt with XXXX XXXX. I had disputed directly with XXXX XXXX, communicated by phone and mail and they removed the debt from my credit report. I was quite surprised to then get a collection account from XXXX. The account was opened XX/XX/XXXX in the amount of {$12000.00}. I immediately contacted XXXX and was asked to send them a copy of my identity theft package, which I did. This account has yet to be removed. I have sent in multiple requests for removal of this account and they have reported that it meets FCRA requirements, which clearly it does not. 

The second collection account that I have been unable to have removed is with XXXX for XXXX Apartments. This account is for an apartment that was rented in Florida with my identity. I have request removal for identity theft several times, and have had no success. With this account, it may not even be in my name, because my name is XXXX XXXX, and the identity thief opened multiple accounts under the name XXXX XXXX. The alternate name, Florida addresses, and different employers have all shown up on my credit report."
