Author,Stance,Mean,CI_lo,CI_hi
Crease,Pro,0.12491278068151276,0.08521759433370973,0.17164400230608573
Crease,Neutral,0.49360218859580623,0.4366973095079772,0.5523330850672561
Crease,Cons,0.3814850288432047,0.3259571777578129,0.4362594661516059
Begbie,Pro,0.27192310249018997,0.14681766743823468,0.4136456168968127
Begbie,Neutral,0.13501130080678395,0.07710270197518788,0.2008679910485322
Begbie,Cons,0.5930656035327249,0.4473833761540139,0.7189892576800453
Act 1884,Pro,0.024829237149485026,0.012655270785520117,0.04232331237775113
Act 1884,Neutral,0.3772536642694225,0.3082760249594382,0.4409054304279077
Act 1884,Cons,0.5979170973102251,0.5271098117654522,0.6724224158252279
