EXCLUSIONARY,RIGHTS_AFFIRMING,DEHUMANIZING,LEGAL_PROCEDURAL,ECONOMIC,SANITARY_MEDICAL,total_tokens,lexicon_hits,group,filename
2.280501710376283,12.705652386382146,0.48867893793777484,20.850301352011726,19.547157517510996,0.3257859586251832,6139,345,Crease,regina_v_wing_chong.txt
1.6771488469601676,1.2578616352201257,4.612159329140462,9.224318658280923,3.3542976939203353,29.350104821802937,2385,118,Crease,wong_hoy_woon_v_duncan.txt
2.604783329386692,6.156760596732181,3.788775751835188,22.49585602652143,16.812692398768647,0.23679848448969926,4223,220,Begbie,regina_v_mee_wah.txt
1.4224751066856332,6.401137980085348,2.8449502133712663,21.337126600284492,17.069701280227598,0.7112375533428166,1406,70,Begbie,regina_v_victoria.txt
2.9581993569131835,23.15112540192926,4.5016077170418,23.665594855305468,2.315112540192926,0.2572347266881029,7775,442,Other,quong_wing_v_the_king.txt
1.721170395869191,1.721170395869191,0.0,5.163511187607574,1.721170395869191,0.0,581,6,Other,commission_on_chinese_imigration.txt
4.461795872838818,0.5577244841048522,5.019520356943669,6.692693809258227,9.481316229782488,1.1154489682097044,1793,49,Other,chapleau_report_resume.txt
2.8527957398250283,1.5214910612400152,1.901863826550019,0.5705591479650057,12.171928489920122,0.5705591479650057,5258,103,Crease,crease_commission.txt
0.843644544431946,0.984251968503937,10.686164229471316,1.4060742407199098,9.420697412823397,1.265466816647919,7112,175,Begbie,begbie_commission.txt
10.365029292474087,3.1545741324921135,0.0,8.562415502478594,26.137899954934653,0.0,2219,107,Act,chinese_regulation_act_1884.txt
